State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.5977775519053892	2.6390086764334744E-5	0.014428360219224966	0.0017187314327414935	0.03486847015560047	9.567620639161239E-4	1.9670091899042422E-4	0.0011476080460744624	0.006302166134650835	0.007766845423328453	0.004463956866989863	0.3168950595986872	6.598952703867309E-8	0.0027688432131677963	0.010682487944947491
2	2.287131183942924E-5	0.6288724287663812	0.0	0.0	5.741018445731457E-6	1.6129688868217393E-6	0.0	1.2751678375061122E-4	1.2436049202160705E-5	0.002339068795650807	0.0	0.003342632014402171	0.3371070194529597	0.0	0.028168672838481523
3	0.023927266894077717	0.0	0.9271228324196275	0.018726454026555605	0.0	2.1677891310403826E-5	0.0	9.564632667994853E-4	0.004355592689223311	0.0	3.208536997656959E-4	0.02440684326278551	1.6201584985493897E-4	0.0	0.0
4	0.008812254113032075	0.0	0.0553965804375434	0.9020504978851248	0.025582248873449377	0.0028799310802831604	9.628035838014079E-4	9.172412205799977E-4	3.7831727388900856E-4	0.0	0.002533963645829309	4.861618864676673E-4	0.0	0.0	0.0
5	0.03490686305894378	1.936665787059426E-5	0.0	0.005361934781069562	0.7976116696125438	0.005946948025856705	2.891906518557397E-4	6.875529823273214E-5	0.0	0.0027125970816865063	0.007392867838773919	0.10468889986861242	0.022968314576974545	0.005502287926779354	0.01253030462080016
6	0.01344242287316583	0.0	2.1568515290216849E-4	0.008302018479555586	0.08454028565996533	0.7213316675512216	0.10489777437694785	0.014948724457182778	0.0	0.019922819932718647	0.00353681981254716	0.008062511979115686	0.003005925771155628	0.01239329450615214	0.005400049447369671
7	0.0018789099788996293	0.0	0.0	0.002259220861256053	0.0025096648409097862	0.07732314481795194	0.8070416551116967	0.08374299197402982	0.002587825068515937	0.001014157195560549	0.02127997598811088	3.0468218171993746E-4	5.777198134881059E-5	0.0	0.0
8	0.026508139423204475	0.0036624237009549427	0.01697211405750135	0.005122405443300909	0.002251984020546484	0.025881365911148906	0.1832313657272331	0.5936395985447134	0.03739033377177613	0.061424120244329826	0.012595527650751078	0.02772266144931852	0.003128134287880048	0.0	4.6982576734070546E-4
9	0.04087281917339936	2.918367174399926E-6	0.016835536069075	3.6331070903233175E-4	2.874667008003087E-8	0.0	0.0015159249834356301	0.010565531895895396	0.6125693761528122	0.07205824719447873	0.15254027247792024	0.08864238184997202	0.003901073583735465	1.325787963994057E-4	0.0
10	0.02281363510146955	0.008239403201811461	0.0	0.0	0.008597774483815513	0.004162837238139832	2.1698711241257494E-4	0.007022892417368019	0.03317273208533019	0.6792530433768885	0.02681550476916173	0.0972794710338361	0.10931943873197168	0.0	0.0031062804477950097
11	0.03114656333185974	0.0	0.0011746875832770877	0.003655640625314864	0.054225424107202214	0.002822891322039589	0.01334216837197514	0.0033939979821254822	0.17406145870641831	0.06609338088767369	0.6360049104900666	0.013798220142986716	0.0	2.8065644906052477E-4	0.0
12	0.12394817852810575	0.0016356599848059207	0.005657263620415535	5.9260296594934083E-5	0.040218091999210885	2.0571974348299683E-4	9.01865816414771E-6	4.557491881703264E-4	0.005648448720164333	0.012472015534440719	7.271111197679895E-4	0.8088777277349333	8.558028203702328E-5	0.0	1.745897058213813E-7
13	0.0	0.044657810771003954	1.0560559710377525E-5	0.0	0.0024236976378656824	2.283048742631486E-5	0.0	1.945056050929752E-5	3.879180992647737E-5	0.003974434861489254	0.0	3.565249971546964E-5	0.9466810527963557	0.0	0.0021357180159973033
14	0.017672264223024023	0.0	0.0	0.0	0.03513392399865486	0.00583909357327683	0.0	0.0	0.0	1.4369707817609893E-4	2.9263096550008493E-4	3.81130213777029E-4	0.0	0.9076345946843369	0.03290266526325417
15	0.012423852573375962	0.03992541344977365	0.0	0.0	0.014640572495721245	4.99267224847529E-4	0.0	2.971996602569982E-5	0.0	0.0013570088521569594	0.0	1.9116413148830723E-6	0.023710192152381033	0.005780823790717925	0.9016312378536852
