15	7	E	-1.3751268719964702E7	200
transitionprobs	11	2	0.0
transitionprobs	11	3	0.0011746875832770877
transitionprobs	11	4	0.003655640625314864
transitionprobs	11	5	0.054225424107202214
transitionprobs	11	6	0.002822891322039589
transitionprobs	11	7	0.01334216837197514
transitionprobs	11	8	0.0033939979821254822
transitionprobs	11	9	0.17406145870641831
transitionprobs	11	10	0.06609338088767369
transitionprobs	11	11	0.6360049104900666
transitionprobs	11	12	0.013798220142986716
transitionprobs	11	13	0.0
transitionprobs	11	14	2.8065644906052477E-4
transitionprobs	11	15	0.0
transitionprobs	12	1	0.12394817852810575
transitionprobs	12	2	0.0016356599848059207
transitionprobs	12	3	0.005657263620415535
transitionprobs	12	4	5.9260296594934083E-5
transitionprobs	12	5	0.040218091999210885
transitionprobs	12	6	2.0571974348299683E-4
transitionprobs	12	7	9.01865816414771E-6
transitionprobs	12	8	4.557491881703264E-4
transitionprobs	12	9	0.005648448720164333
transitionprobs	12	10	0.012472015534440719
transitionprobs	12	11	7.271111197679895E-4
transitionprobs	12	12	0.8088777277349333
transitionprobs	12	13	8.558028203702328E-5
transitionprobs	12	14	0.0
transitionprobs	12	15	1.745897058213813E-7
transitionprobs	13	1	0.0
transitionprobs	13	2	0.044657810771003954
transitionprobs	13	3	1.0560559710377525E-5
transitionprobs	13	4	0.0
transitionprobs	13	5	0.0024236976378656824
transitionprobs	13	6	2.283048742631486E-5
transitionprobs	13	7	0.0
transitionprobs	13	8	1.945056050929752E-5
transitionprobs	13	9	3.879180992647737E-5
transitionprobs	13	10	0.003974434861489254
transitionprobs	13	11	0.0
transitionprobs	13	12	3.565249971546964E-5
transitionprobs	13	13	0.9466810527963557
transitionprobs	13	14	0.0
transitionprobs	13	15	0.0021357180159973033
transitionprobs	14	1	0.017672264223024023
transitionprobs	14	2	0.0
transitionprobs	14	3	0.0
transitionprobs	14	4	0.0
transitionprobs	14	5	0.03513392399865486
transitionprobs	14	6	0.00583909357327683
transitionprobs	14	7	0.0
transitionprobs	14	8	0.0
transitionprobs	14	9	0.0
transitionprobs	14	10	1.4369707817609893E-4
transitionprobs	14	11	2.9263096550008493E-4
transitionprobs	14	12	3.81130213777029E-4
transitionprobs	14	13	0.0
transitionprobs	14	14	0.9076345946843369
transitionprobs	14	15	0.03290266526325417
transitionprobs	15	1	0.012423852573375962
transitionprobs	15	2	0.03992541344977365
transitionprobs	15	3	0.0
transitionprobs	15	4	0.0
transitionprobs	15	5	0.014640572495721245
transitionprobs	15	6	4.99267224847529E-4
transitionprobs	15	7	0.0
transitionprobs	15	8	2.971996602569982E-5
transitionprobs	15	9	0.0
transitionprobs	15	10	0.0013570088521569594
transitionprobs	15	11	0.0
transitionprobs	15	12	1.9116413148830723E-6
transitionprobs	15	13	0.023710192152381033
transitionprobs	15	14	0.005780823790717925
transitionprobs	15	15	0.9016312378536852
emissionprobs	1	0	DNase	0	0.8617402189399426
emissionprobs	1	0	DNase	1	0.13825978106005749
emissionprobs	1	1	H3K27ac	0	0.9943657418658385
emissionprobs	1	1	H3K27ac	1	0.005634258134161538
emissionprobs	1	2	H3K27me3	0	0.9934533991807413
emissionprobs	1	2	H3K27me3	1	0.006546600819258739
emissionprobs	1	3	H3K4me1	0	0.9959715920040505
emissionprobs	1	3	H3K4me1	1	0.004028407995949534
emissionprobs	1	4	H3K4me3	0	0.9991578494121617
